book_title,author,genres,authorlink,cover_image_uri,total_rating,avg_rating
The Complete Calvin and Hobbes,Bill Watterson,"['Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Comedy', 'Classics', 'Comic Strips']",https://www.goodreads.com/author/show/13778.Bill_Watterson,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1607384975i/24812.jpg,40335,4.81
All the Young Dudes,MsKingBean89,"['Fantasy', 'Fan Fiction', 'LGBT', 'Romance', 'Queer', 'Fiction', 'Young Adult']",https://www.goodreads.com/author/show/17588713.MsKingBean89,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1655878727i/37887580.jpg,30436,4.78
Words of Radiance,Brandon Sanderson,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Audiobook', 'Adult', 'Magic']",https://www.goodreads.com/author/show/38550.Brandon_Sanderson,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1659905768i/17332218.jpg,355368,4.76
Light Bringer,Pierce Brown,"['Science Fiction', 'Fantasy', 'Fiction', 'Dystopia', 'Audiobook', 'Space Opera', 'Adult']",https://www.goodreads.com/author/show/6474348.Pierce_Brown,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1667655583i/29227774.jpg,37636,4.75
Harry Potter Series Box Set,J.K. Rowling,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Classics']",https://www.goodreads.com/author/show/1077326.J_K_Rowling,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1534298934i/862041.jpg,288478,4.74
It's a Magical World,Bill Watterson,"['Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Comic Strips', 'Comedy', 'Comic Book']",https://www.goodreads.com/author/show/13778.Bill_Watterson,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1437420710i/24814.jpg,28375,4.73
"Harry Potter Boxed Set, Books 1-5",J.K. Rowling,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Adventure', 'Supernatural', 'Childrens']",https://www.goodreads.com/author/show/1077326.J_K_Rowling,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388185391i/8.jpg,148443,4.72
Harry Potter Collection,J.K. Rowling,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Classics', 'Adventure']",https://www.goodreads.com/author/show/1077326.J_K_Rowling,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328867351i/10.jpg,32990,4.72
Know My Name,Chanel Miller,"['Nonfiction', 'Memoir', 'Audiobook', 'Feminism', 'Biography', 'True Crime', 'Biography Memoir']",https://www.goodreads.com/author/show/19527332.Chanel_Miller,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1567612158l/50196744.jpg,202602,4.71
Kingdom of Ash,Sarah J. Maas,"['Young Adult', 'Romance', 'Fae', 'New Adult', 'Fiction', 'Magic', 'Young Adult Fantasy']",https://www.goodreads.com/author/show/3433047.Sarah_J_Maas,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1531922609i/33590260.jpg,1132957,4.69
The Harry Potter Collection 1-4,J.K. Rowling,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Adventure', 'Childrens', 'Classics']",https://www.goodreads.com/author/show/1077326.J_K_Rowling,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1266471831i/99298.jpg,65921,4.69
The Days Are Just Packed,Bill Watterson,"['Comics', 'Humor', 'Fiction', 'Graphic Novels', 'Graphic Novels Comics', 'Comic Strips', 'Comedy']",https://www.goodreads.com/author/show/13778.Bill_Watterson,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1418211162i/24818.jpg,24669,4.67
The Way of Kings,Brandon Sanderson,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Audiobook', 'Adult', 'Science Fiction Fantasy']",https://www.goodreads.com/author/show/38550.Brandon_Sanderson,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1659905828i/7235533.jpg,500546,4.66
